prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
360000.0,Casablanca,2.0,1.0,sidi moumen,1.0,2.0,66.0,5454.545454545455
1750000.0,Casablanca,3.0,2.0,2 mars,1.0,3.0,127.0,13779.527559055117
430000.0,Berrechid,2.0,2.0,toute la ville,1.0,2.0,148.0,2905.4054054054054
740000.0,Casablanca,2.0,2.0,sidi maarouf,2.0,2.0,78.0,9487.179487179486
330000.0,Casablanca,2.0,1.0,oulfa,1.0,1.0,63.0,5238.0952380952385
795500.0,Casablanca,1.0,1.0,fonciere,1.0,2.0,70.0,11364.285714285714
160000.0,Dar Bouazza,3.0,1.0,toute la ville,1.0,1.0,60.0,2666.6666666666665
480000.0,Casablanca,2.0,1.0,sidi maarouf,1.0,2.0,57.0,8421.052631578947
250000.0,Casablanca,2.0,1.0,hay hassani,1.0,4.0,56.0,4464.285714285715
370000.0,Marrakech,3.0,2.0,azzouzia,1.0,2.0,72.0,5138.888888888889
1750000.0,Casablanca,3.0,2.0,2 mars,1.0,3.0,127.0,13779.527559055117
430000.0,Berrechid,2.0,2.0,toute la ville,1.0,2.0,148.0,2905.4054054054054
740000.0,Casablanca,2.0,2.0,sidi maarouf,2.0,2.0,78.0,9487.179487179486
330000.0,Casablanca,2.0,1.0,oulfa,1.0,1.0,63.0,5238.0952380952385
795500.0,Casablanca,1.0,1.0,fonciere,1.0,2.0,70.0,11364.285714285714
160000.0,Dar Bouazza,3.0,1.0,toute la ville,1.0,1.0,60.0,2666.6666666666665
480000.0,Casablanca,2.0,1.0,sidi maarouf,1.0,2.0,57.0,8421.052631578947
250000.0,Casablanca,2.0,1.0,hay hassani,1.0,4.0,56.0,4464.285714285715
1250000.0,Casablanca,2.0,1.0,bourgogne,1.0,6.0,74.0,16891.891891891893
440000.0,Safi,4.0,2.0,azib derai,1.0,1.0,100.0,4400.0
2300000.0,Rabat,2.0,3.0,agdal,1.0,2.0,209.0,11004.784688995216
1500000.0,Rabat,2.0,1.0,hassan,1.0,4.0,110.0,13636.363636363636
1050000.0,Mohammedia,3.0,2.0,el alia,1.0,3.0,106.0,9905.66037735849
650000.0,Mohammedia,1.0,2.0,mimosas,1.0,2.0,45.0,14444.444444444445
700000.0,Berkane,2.0,1.0,toute la ville,1.0,3.0,100.0,7000.0
560000.0,Berrechid,3.0,2.0,toute la ville,1.0,4.0,81.0,6913.580246913581
1600000.0,Casablanca,2.0,2.0,maarif,1.0,4.0,89.0,17977.52808988764
465000.0,Casablanca,2.0,1.0,sidi maarouf,1.0,1.0,51.0,9117.64705882353
380000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,60.0,6333.333333333333
480000.0,Martil,2.0,1.0,toute la ville,1.0,1.0,56.0,8571.42857142857
1650000.0,Fès,4.0,3.0,agdal,2.0,5.0,180.0,9166.666666666666
1000000.0,El Mansouria,2.0,2.0,toute la ville,1.0,1.0,79.0,12658.227848101265
920000.0,Casablanca,2.0,1.0,la gironde,2.0,3.0,99.0,9292.929292929293
880000.0,Martil,2.0,1.0,toute la ville,1.0,2.0,66.0,13333.333333333334
16300.0,Casablanca,2.0,1.0,maarif,1.0,4.0,100.0,163.0
850000.0,Casablanca,2.0,1.0,ain borja,1.0,2.0,76.0,11184.21052631579
540000.0,Martil,2.0,2.0,toute la ville,1.0,1.0,60.0,9000.0
