prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
13000.0,Casablanca,3.0,3.0,racine,2.0,3.0,150.0,86.66666666666667
13000.0,Rabat,3.0,3.0,hay riad,2.0,4.0,180.0,72.22222222222223
2000.0,Kénitra,2.0,1.0,autre secteur,1.0,3.0,52.0,38.46153846153846
6000.0,Mohammedia,2.0,2.0,quartier du parc,1.0,3.0,92.0,65.21739130434783
6500.0,Casablanca,2.0,2.0,2 mars,2.0,4.0,138.0,47.10144927536232
5000.0,Casablanca,3.0,2.0,sidi maarouf,1.0,2.0,120.0,41.666666666666664
8000.0,Casablanca,1.0,1.0,californie,1.0,2.0,50.0,160.0
10500.0,Mohammedia,2.0,2.0,partie est,1.0,2.0,134.0,78.35820895522389
6000.0,Mohammedia,1.0,1.0,quartier du parc,1.0,1.0,65.0,92.3076923076923
5500.0,Casablanca,1.0,2.0,ain sebaa,1.0,3.0,70.0,78.57142857142857
3700.0,Casablanca,2.0,1.0,oulfa,1.0,1.0,120.0,30.833333333333332
2300.0,Berrechid,3.0,1.0,toute la ville,1.0,3.0,100.0,23.0
8000.0,Bouznika,2.0,2.0,plage oued cherrat,1.0,1.0,85.0,94.11764705882354
5000.0,Meknès,3.0,2.0,autre secteur,2.0,2.0,150.0,33.333333333333336
5500.0,Marrakech,2.0,2.0,route de casablanca,2.0,4.0,90.0,61.111111111111114
7000.0,Rabat,2.0,2.0,yacoub el mansour,1.0,3.0,92.0,76.08695652173913
7500.0,Temara,2.0,2.0,autre secteur,2.0,2.0,105.0,71.42857142857143
7500.0,Marrakech,2.0,1.0,av mohammed vi,1.0,1.0,100.0,75.0
6500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,1.0,71.0,91.54929577464789
7500.0,Temara,2.0,2.0,wifak,2.0,3.0,110.0,68.18181818181819
4000.0,Rabat,2.0,1.0,yacoub el mansour,1.0,1.0,50.0,80.0
4800.0,Casablanca,2.0,2.0,belvedere,1.0,1.0,85.0,56.470588235294116
7000.0,Rabat,4.0,2.0,agdal,2.0,4.0,120.0,58.333333333333336
5000.0,Meknès,3.0,2.0,autre secteur,2.0,2.0,150.0,33.333333333333336
5500.0,Marrakech,2.0,2.0,route de casablanca,2.0,4.0,90.0,61.111111111111114
7000.0,Rabat,2.0,2.0,yacoub el mansour,1.0,3.0,92.0,76.08695652173913
7500.0,Temara,2.0,2.0,autre secteur,2.0,2.0,105.0,71.42857142857143
7500.0,Marrakech,2.0,1.0,av mohammed vi,1.0,1.0,100.0,75.0
6500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,1.0,71.0,91.54929577464789
